company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Emerging Growth,0.36144627890441705
ADANIENSOL,0,Emerging Growth,1.3620455588404996
ADANIENT,0,Emerging Growth,1.176673721765418
ADANIGREEN,3,Value Cyclicals,2.5850166075455183
ADANIPORTS,1,Distressed or Turnaround,1.5660076368612772
ADANIPOWER,0,Emerging Growth,1.1721125515230089
AMBUJACEM,0,Emerging Growth,0.229077241020552
APOLLOHOSP,0,Emerging Growth,0.5745490313000933
ASIANPAINT,0,Emerging Growth,0.4038415480955103
ATGL,0,Emerging Growth,1.3669306069653975
BAJAJ-AUTO,0,Emerging Growth,0.6588093959140529
AXISBANK,3,Value Cyclicals,0.8735328273336834
BAJAJFINSV,3,Value Cyclicals,0.984130355968026
BAJAJHLDNG,1,Distressed or Turnaround,2.252098136078361
BAJFINANCE,3,Value Cyclicals,1.5574182531330452
BANKBARODA,3,Value Cyclicals,1.761663597166495
BHARTIARTL,1,Distressed or Turnaround,1.4358730812667846
BEL,4,High-Quality Compounders,0.7590512025861472
BHEL,0,Emerging Growth,2.2862870156086803
BOSCHLTD,0,Emerging Growth,0.9396071168925535
BPCL,0,Emerging Growth,0.5547423796741325
BRITANNIA,0,Emerging Growth,1.6717723935498467
CANBK,3,Value Cyclicals,2.6667324709446203
CHOLAFIN,3,Value Cyclicals,0.8424830553076147
CIPLA,2,Defensive Dividend Payers,0.0
COALINDIA,0,Emerging Growth,0.7904056283418099
DABUR,0,Emerging Growth,0.8551983644531278
DIVISLAB,0,Emerging Growth,0.8064032554124418
DLF,0,Emerging Growth,2.436442682477292
DMART,0,Emerging Growth,1.3622815801324395
DRREDDY,0,Emerging Growth,1.2476416793410856
EICHERMOT,0,Emerging Growth,0.48517043309548885
GAIL,0,Emerging Growth,0.4050348540563591
GODREJCP,0,Emerging Growth,0.6801170887777732
GRASIM,0,Emerging Growth,0.3498335412992978
HAL,4,High-Quality Compounders,0.7590512025861463
HAVELLS,0,Emerging Growth,0.9300177418468974
HCLTECH,0,Emerging Growth,0.5104249243986396
HDFCBANK,3,Value Cyclicals,0.7038524706351756
HDFCLIFE,1,Distressed or Turnaround,1.1192004443880148
HEROMOTOCO,0,Emerging Growth,1.2857038132939327
HINDALCO,0,Emerging Growth,0.36386369495991056
HINDUNILVR,0,Emerging Growth,0.36736178931972885
ICICIBANK,3,Value Cyclicals,0.7564435429192131
ICICIGI,1,Distressed or Turnaround,1.1412724764866133
ICICIPRULI,1,Distressed or Turnaround,2.1274030201425975
INDUSINDBK,3,Value Cyclicals,0.6494504056916813
INFY,0,Emerging Growth,0.3706900057943138
IOC,0,Emerging Growth,0.6034238320137555
IRCTC,0,Emerging Growth,1.4028311126938346
IRFC,3,Value Cyclicals,2.154656629814407
ITC,0,Emerging Growth,0.9396179212096952
JINDALSTEL,0,Emerging Growth,1.3466268778786243
JIOFIN,1,Distressed or Turnaround,0.7277107601128185
JSWENERGY,0,Emerging Growth,1.4542465837493688
JSWSTEEL,0,Emerging Growth,0.6452649057072993
KOTAKBANK,1,Distressed or Turnaround,1.057982431117184
LICI,0,Emerging Growth,2.1130319052476882
LODHA,0,Emerging Growth,2.090615192997019
LT,0,Emerging Growth,0.3386002904491343
LTIM,0,Emerging Growth,2.648680700490081
M&M,0,Emerging Growth,0.8283571087113056
MARUTI,0,Emerging Growth,0.3487153758154534
MOTHERSON,0,Emerging Growth,0.6317293277666101
NAUKRI,0,Emerging Growth,0.8968534348129001
NESTLEIND,0,Emerging Growth,0.49624942582989745
NHPC,0,Emerging Growth,2.0480592637204498
NTPC,0,Emerging Growth,0.5105157016961364
ONGC,0,Emerging Growth,0.5903802830500963
PFC,3,Value Cyclicals,1.2868978656544947
PIDILITIND,0,Emerging Growth,0.5074893852227905
PNB,3,Value Cyclicals,1.3799121797899625
POWERGRID,1,Distressed or Turnaround,1.8755864692519089
RECLTD,1,Distressed or Turnaround,1.9312760462058347
RELIANCE,0,Emerging Growth,0.251376459228359
SBILIFE,0,Emerging Growth,2.039344754135156
SBIN,0,Emerging Growth,2.004294155030762
SHREECEM,0,Emerging Growth,0.25745139111612614
SHRIRAMFIN,3,Value Cyclicals,1.3661729686487107
SUNPHARMA,0,Emerging Growth,1.1715756308198564
TATACONSUM,0,Emerging Growth,1.7268370071388086
TATAMOTORS,0,Emerging Growth,0.5885531085282252
TATAPOWER,0,Emerging Growth,0.8397801535512865
TATASTEEL,0,Emerging Growth,0.6363936001729197
TCS,0,Emerging Growth,0.3498359194358753
TECHM,0,Emerging Growth,0.6547981635488805
TITAN,0,Emerging Growth,1.5408881956586133
TORNTPHARM,0,Emerging Growth,0.7714801986833093
TRENT,0,Emerging Growth,3.4322172441460173
TVSMOTOR,0,Emerging Growth,1.228197225244832
INDIGO,0,Emerging Growth,2.7212424715505907
